Timestamp,StatusCode,Latency_ms,Error
2026-07-25T03:10:58.620511+00:00,502,3918,
2026-07-25T03:11:12.541367+00:00,502,3520,
2026-07-25T03:11:26.062609+00:00,502,3440,
2026-07-25T03:11:39.504194+00:00,502,3329,
2026-07-25T03:11:52.835217+00:00,502,3588,
2026-07-25T03:12:06.425959+00:00,502,4370,
2026-07-25T03:12:20.797653+00:00,200,827,
2026-07-25T03:12:31.631949+00:00,200,1328,
2026-07-25T03:12:42.966576+00:00,200,1785,
2026-07-25T03:12:54.754307+00:00,200,1995,
2026-07-25T03:13:06.754275+00:00,200,1179,
2026-07-25T03:13:17.935598+00:00,200,1519,
2026-07-25T03:13:29.457825+00:00,200,896,
2026-07-25T03:13:40.355440+00:00,200,1268,
2026-07-25T03:13:51.625698+00:00,200,1983,
2026-07-25T03:14:03.612974+00:00,200,1591,
2026-07-25T03:14:15.214972+00:00,200,1784,
2026-07-25T03:14:27.002857+00:00,200,1081,
2026-07-25T03:14:38.085765+00:00,200,1141,
2026-07-25T03:14:49.231618+00:00,200,1687,
2026-07-25T03:15:00.922095+00:00,200,1672,
2026-07-25T03:15:12.595815+00:00,200,1621,
2026-07-25T03:15:24.220449+00:00,200,1298,
2026-07-25T03:15:35.519981+00:00,200,1767,
2026-07-25T03:15:47.295091+00:00,200,1487,
2026-07-25T03:15:58.783443+00:00,200,1816,
2026-07-25T03:16:10.601666+00:00,200,793,
2026-07-25T03:16:21.395857+00:00,200,1446,
2026-07-25T03:16:32.845686+00:00,200,1712,
2026-07-25T03:16:44.563022+00:00,200,1033,
2026-07-25T03:16:55.599163+00:00,200,1196,
2026-07-25T03:17:06.797202+00:00,200,1776,
2026-07-25T03:17:18.574871+00:00,200,1522,
2026-07-25T03:17:30.099811+00:00,200,1665,
2026-07-25T03:17:41.770762+00:00,200,835,
2026-07-25T03:17:52.607012+00:00,200,955,
2026-07-25T03:18:03.564282+00:00,200,953,
2026-07-25T03:18:14.519658+00:00,200,1002,
2026-07-25T03:18:25.523795+00:00,200,1228,
2026-07-25T03:18:36.758970+00:00,200,877,
2026-07-25T03:18:47.637996+00:00,200,827,
2026-07-25T03:18:58.467132+00:00,200,765,
2026-07-25T03:19:09.233024+00:00,200,878,
2026-07-25T03:19:20.114000+00:00,200,689,
2026-07-25T03:19:30.804419+00:00,200,824,
2026-07-25T03:19:41.630768+00:00,200,907,
2026-07-25T03:19:52.539296+00:00,200,818,
2026-07-25T03:20:03.360101+00:00,200,1297,
2026-07-25T03:20:14.662222+00:00,200,1020,
2026-07-25T03:20:25.685369+00:00,200,1015,
2026-07-25T03:20:36.703111+00:00,200,1409,
